msa,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url
atlanta,COSMIC SHIELDING CORPORATION,cosmic shielding,grant_only_company,startup,unknown,ATLANTA,GA,30312-1257,False,True,False,False,0.0,4.0,3924211.0,0.0,0.0,,,,,,V6E2L2PASYD5,117821881,https://cosmicshielding.com/,6,2022,2025,,
atlanta,"CTEN GLOBAL STRATEGIES, LLC",cten global strategies,grant_only_company,startup,unknown,ALPHARETTA,GA,30022-5129,False,True,False,False,0.0,1.0,124403.0,0.0,0.0,,,,,,C64AJD9V8DL7,058187018,https://www.ctenglobal.com,2,2020,2020,,
atlanta,CUSTOM BIOMETRIC WEARABLES INC,custom biometric wearables,grant_only_company,startup,medtech,ATLANTA,GA,30309-1173,False,True,False,False,0.0,2.0,2046904.9100000001,0.0,0.0,,,,,,JUMJJQ43BNY8,117526117,http://www.awarecbw.com,13,2023,2023,,
atlanta,"CYKE, INC.",cyke,grant_only_company,startup,unknown,ATLANTA,GA,30338 5436,False,True,False,False,0.0,7.0,2776216.0,0.0,0.0,,,,,,,840147701,,,2000,2007,,
atlanta,Cadetron Inc.,cadetron,grant_only_company,startup,unknown,Atlanta,GA,30338,False,True,False,False,0.0,0.0,519000.0,0.0,0.0,,,,,,,,,,1985,1986,,
atlanta,Cambium Medical Technologies LLC,cambium medical technologies,grant_only_company,startup,unknown,Atlanta,GA,30319-4569,False,True,True,False,0.0,1.0,149265.0,1.0,149265.0,,,,,,DT7QJN63U7E5,079180750,,5,2015,2015,,
atlanta,Cambium Oncology LLC,cambium oncology,grant_only_company,startup,biotech,Atlanta,GA,30306-3602,False,True,True,False,0.0,3.0,1805827.0,4.0,2805824.0,,,,,,FD2YFTNRQMK8,116764675,Https://www.cambiumoncology.com,3,2024,2025,,
atlanta,"Caps Logistics, Inc.",caps logistics,grant_only_company,startup,unknown,Atlanta,GA,30339,False,True,False,False,0.0,0.0,849136.0,0.0,0.0,,,,,,,,,45,1985,1994,,
atlanta,Care Solutions Inc.,care solutions,grant_only_company,startup,unknown,Atlanta,GA,30328,False,True,False,False,0.0,0.0,144455.0,0.0,0.0,,,,,,,,,,1992,1993,,
atlanta,Ccw Technology Group Inc.,ccw technology,grant_only_company,startup,unknown,Atlanta,GA,30340,False,True,False,False,0.0,0.0,55000.0,0.0,0.0,,,,,,,,,,1994,1994,,
