msa,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url,priority_score,founded_year
atlanta,True,False,False,False,2.0,0.0,0.0,0.0,0.0,STRATACA GROUP,strataca,operating_company,startup,medtech,MILTON,GA,30004,Other Health Care,,,1653180.0,,,,,,,,,4,2018.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Sawatch Ventures, LLC",sawatch ventures,operating_company,startup,medtech,DUNWOODY,GA,30338,Other Health Care,,,1884539.0,,,,,,,,,4,2019.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"ShareMD Digital Solutions, LLC",sharemd digital solutions,operating_company,startup,medtech,ALPHARETTA,GA,30009,Other Health Care,,,1952932.0,,,,,,,,,4,2020.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Sway Health, Inc.",sway health,operating_company,startup,medtech,ATLANTA,GA,30308,Other Health Care,,,1689871.0,,,,,,,,,4,2016.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Tabor.AI, Inc.",tabor ai,operating_company,startup,medtech,ATLANTA,GA,30326,Other Health Care,,,2008806.0,,,,,,,,,4,2023.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Verdant Scientific, Inc.",verdant scientific,operating_company,startup,medtech,DUNWOODY,GA,30338,Other Health Care,,,2007409.0,,,,,,,,,4,2022.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,XO Health Inc.,xo health,operating_company,startup,medtech,Alpharetta,GA,30009,Other Health Care,,,2083859.0,,,,,,,,,4,2021.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Zea Health, Inc.",zea health,operating_company,startup,medtech,ALPHARETTA,GA,30005,Other Health Care,,,2022527.0,,,,,,,,,4,2021.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,Zekel Healthcare,zekel healthcare,operating_company,startup,medtech,ATLANTA,GA,30078,Other Health Care,,,1662879.0,,,,,,,,,4,2015.0
atlanta,False,False,False,True,0.0,0.0,0.0,0.0,0.0,Boli Therapeutics,boli therapeutics,tto_spinout,startup,pharma,,,,Pharmaceuticals,,emory_known,,,,,,,,,,4,
